query,intent,sentiment,detected_intent,detected_sentiment,summary
is there a manual or guide for shipping inquiry,shipping_inquiry,neutral,order_inquiry,neutral,Request for information on shipping inquiry process
using booking complaint was a frustrating experience,booking_complaint,negative,booking_complaint,negative,Booking process was frustrating
what does financial complaint involve,financial_complaint,neutral,financial_inquiry,neutral,Inquiry about financial matters
technical support has made my life much easier and better,technical_support,positive,express_appreciation,positive,Express gratitude for technical support
how do i proceed with entertainment review,entertainment_review,neutral,entertainment_review,neutral,User wants to proceed with reviewing entertainment-related content
using product complaint was a frustrating experience,product_complaint,negative,product_complaint,negative,The customer had a frustrating experience while filing a complaint about a product.
im very satisfied with the results of service inquiry,service_inquiry,positive,service_inquiry,positive,Satisfied customer
using delivery status was a frustrating experience,delivery_status,negative,delivery_status,negative,The user had a frustrating experience tracking their delivery status.
where can i learn about shipping inquiry,shipping_inquiry,neutral,shipping_inquiry,neutral,Inquiring about shipping information
really appreciate how efficient travel complaint has been,travel_complaint,positive,express_appreciation,positive,Expressing gratitude for efficient travel complaint process
who can i contact about travel review,travel_review,neutral,travel_review,neutral,Requesting information about writing or sharing a travel review
whats the process for process complaint,process_complaint,neutral,procedural_inquiry,neutral,Asking about the process for handling complaints
educational feedback was a complete disaster and waste of time,educational_feedback,negative,educational_feedback,negative,Disappointing experience with educational feedback
travel review caused a lot of problems for me,travel_review,negative,travel_review,negative,Travel experience was problematic
using health complaint was a frustrating experience,health_complaint,negative,health_complaint,negative,Disappointed experience
im extremely disappointed with procedural inquiry,procedural_inquiry,negative,procedural_inquiry,negative,Expressing disappointment with the procedural inquiry process
kudos to the team behind policy complaint,policy_complaint,positive,express_praise,positive,Expressing gratitude and admiration for a team's work
i need more information regarding health complaint,health_complaint,neutral,health_complaint,neutral,Request for information regarding health complaint
appointment management failed to meet even the basic expectations,appointment_management,negative,appointment_management,negative,Appointment management did not meet basic expectations
policy inquiry exceeded all of my expectations,policy_inquiry,positive,policy_inquiry,positive,"Inquiry about policy, with a positive tone"
my experience with financial complaint was terrible,financial_complaint,negative,financial_complaint,negative,Bad experience with financial complaint
policy feedback has so many issues i regret using it,policy_feedback,negative,policy_feedback,negative,Regretful feedback about policy issues
is there a manual or guide for location inquiry,location_inquiry,neutral,location_inquiry,neutral,The user is asking for information about location inquiry or searching for a guide related to it.
i need more information regarding schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Needs information about scheduling
i couldnt be happier with delivery status,delivery_status,positive,delivery_status,positive,Customer is pleased with their delivery status
how do i proceed with appointment management,appointment_management,neutral,appointment_management,neutral,Inquiry about scheduling or managing appointments
technical support is simply amazing and very reliable,technical_support,positive,express_appreciation,positive,Expressing appreciation for technical support
i absolutely love how service inquiry works for me,service_inquiry,positive,express_appreciation,positive,Customer expresses gratitude and appreciation for service inquiry
facility feedback did not work as advertised,facility_feedback,negative,facility_feedback,negative,The facility feedback did not meet expectations
who can i contact about product feedback,product_feedback,neutral,product_feedback,neutral,Requesting information on how to provide feedback for a product
im extremely disappointed with transportation complaint,transportation_complaint,negative,transportation_complaint,negative,Customer is extremely dissatisfied with transportation-related issue
whats the process for delivery status,delivery_status,neutral,delivery_status,neutral,Querying the delivery status process
is there a manual or guide for financial complaint,financial_complaint,neutral,financial_inquiry,neutral,The user wants to know if there's a guide or manual for financial complaints.
i need more information regarding community feedback,community_feedback,neutral,community_feedback,neutral,Request for community feedback information
health complaint has so many issues i regret using it,health_complaint,negative,health_complaint,negative,Unhappy experience with healthcare service
really appreciate how efficient product inquiry has been,product_inquiry,positive,express_appreciation,positive,Appreciative of efficient service
educational feedback caused a lot of problems for me,educational_feedback,negative,educational_feedback,negative,Problematic educational experience
im very satisfied with the results of educational feedback,educational_feedback,positive,educational_feedback,positive,Customer is satisfied with the outcome of educational feedback.
i absolutely love how health complaint works for me,health_complaint,positive,express_appreciation,positive,Customer expresses appreciation for Health Complaint's service
