query,intent,sentiment
is there a manual or guide for shipping inquiry,shipping_inquiry,neutral
using booking complaint was a frustrating experience,booking_complaint,negative
what does financial complaint involve,financial_complaint,neutral
technical support has made my life much easier and better,technical_support,positive
how do i proceed with entertainment review,entertainment_review,neutral
using product complaint was a frustrating experience,product_complaint,negative
im very satisfied with the results of service inquiry,service_inquiry,positive
using delivery status was a frustrating experience,delivery_status,negative
where can i learn about shipping inquiry,shipping_inquiry,neutral
really appreciate how efficient travel complaint has been,travel_complaint,positive
who can i contact about travel review,travel_review,neutral
whats the process for process complaint,process_complaint,neutral
educational feedback was a complete disaster and waste of time,educational_feedback,negative
travel review caused a lot of problems for me,travel_review,negative
using health complaint was a frustrating experience,health_complaint,negative
im extremely disappointed with procedural inquiry,procedural_inquiry,negative
kudos to the team behind policy complaint,policy_complaint,positive
i need more information regarding health complaint,health_complaint,neutral
appointment management failed to meet even the basic expectations,appointment_management,negative
policy inquiry exceeded all of my expectations,policy_inquiry,positive
my experience with financial complaint was terrible,financial_complaint,negative
policy feedback has so many issues i regret using it,policy_feedback,negative
is there a manual or guide for location inquiry,location_inquiry,neutral
i need more information regarding schedule inquiry,schedule_inquiry,neutral
i couldnt be happier with delivery status,delivery_status,positive
how do i proceed with appointment management,appointment_management,neutral
technical support is simply amazing and very reliable,technical_support,positive
i absolutely love how service inquiry works for me,service_inquiry,positive
facility feedback did not work as advertised,facility_feedback,negative
who can i contact about product feedback,product_feedback,neutral
im extremely disappointed with transportation complaint,transportation_complaint,negative
whats the process for delivery status,delivery_status,neutral
is there a manual or guide for financial complaint,financial_complaint,neutral
i need more information regarding community feedback,community_feedback,neutral
health complaint has so many issues i regret using it,health_complaint,negative
really appreciate how efficient product inquiry has been,product_inquiry,positive
educational feedback caused a lot of problems for me,educational_feedback,negative
im very satisfied with the results of educational feedback,educational_feedback,positive
i absolutely love how health complaint works for me,health_complaint,positive
kudos to the team behind complaint,complaint,positive
i would not recommend product inquiry to anyone,product_inquiry,negative
health inquiry constantly lets me down,health_inquiry,negative
i couldnt be happier with accommodation complaint,accommodation_complaint,positive
process complaint is simply amazing and very reliable,process_complaint,positive
really appreciate how efficient payment inquiry has been,payment_inquiry,positive
what does accommodation complaint involve,accommodation_complaint,neutral
can you provide details about account inquiry,account_inquiry,neutral
could you explain how complaint works,complaint,neutral
i would not recommend process complaint to anyone,process_complaint,negative
product feedback has been a fantastic experience overall,product_feedback,positive
product feedback constantly lets me down,product_feedback,negative
id like to understand more about schedule inquiry,schedule_inquiry,neutral
how do i proceed with account inquiry,account_inquiry,neutral
i absolutely love how policy inquiry works for me,policy_inquiry,positive
where can i learn about policy complaint,policy_complaint,neutral
transportation complaint exceeded all of my expectations,transportation_complaint,positive
i absolutely love how product inquiry works for me,product_inquiry,positive
i couldnt be happier with financial inquiry,financial_inquiry,positive
id like to understand more about entertainment review,entertainment_review,neutral
really appreciate how efficient warranty inquiry has been,warranty_inquiry,positive
the quality of service inquiry is outstanding,service_inquiry,positive
my experience with warranty inquiry was terrible,warranty_inquiry,negative
community feedback exceeded all of my expectations,community_feedback,positive
service feedback has made my life much easier and better,service_feedback,positive
im very satisfied with the results of customer experience,customer_experience,positive
is there a manual or guide for delivery status,delivery_status,neutral
using technical feedback was a frustrating experience,technical_feedback,negative
i need more information regarding environment complaint,environment_complaint,neutral
policy inquiry failed to meet even the basic expectations,policy_inquiry,negative
