Query,Intent,Sentiment
Tell me the forecast.,get_weather,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Set a timer for 10 minutes.,set_timer,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
Play a story for me.,play_story,POSITIVE
Can you set a cooking timer?,set_timer,NEUTRAL
Put on my favorite playlist.,play_music,POSITIVE
Can you tell me the current time?,get_time,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
Give me today's news.,get_news,NEUTRAL
I need a 5-minute timer.,set_timer,NEUTRAL
Navigate to the grocery store.,get_directions,NEUTRAL
What's the weather like today?,get_weather,NEUTRAL
Put on my favorite playlist.,play_music,POSITIVE
Can you read me something?,play_story,POSITIVE
Do you know the time now?,get_time,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Start the music now.,play_music,POSITIVE
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Tell me a bedtime story.,play_story,POSITIVE
Play some music.,play_music,POSITIVE
Do you know the time now?,get_time,NEUTRAL
Is it going to rain tomorrow?,get_weather,NEUTRAL
Can you turn on the lights?,control_lights,NEUTRAL
Play a story for me.,play_story,POSITIVE
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
Set a timer for 10 minutes.,set_timer,NEUTRAL
Do I need an umbrella?,get_weather,NEUTRAL
Start a countdown for 3 minutes.,set_timer,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Can you play some songs?,play_music,POSITIVE
What's the latest news?,get_news,NEUTRAL
Can you play some songs?,play_music,POSITIVE
Text mom I'm on my way.,send_message,NEUTRAL
Can you turn on the lights?,control_lights,NEUTRAL
Do you know the time now?,get_time,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
Set a timer for 10 minutes.,set_timer,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
I need a 5-minute timer.,set_timer,NEUTRAL
Tell me the forecast.,get_weather,NEUTRAL
Put on my favorite playlist.,play_music,POSITIVE
Set a timer for 10 minutes.,set_timer,NEUTRAL
Give me today's news.,get_news,NEUTRAL
Is it going to rain tomorrow?,get_weather,NEUTRAL
Navigate to the grocery store.,get_directions,NEUTRAL
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
Schedule an alarm for 5:30.,set_alarm,NEUTRAL
Turn off the bedroom lights.,control_lights,NEUTRAL
Play a story for me.,play_story,POSITIVE
Shoot a text to my brother.,send_message,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Turn off the bedroom lights.,control_lights,NEUTRAL
Directions to the nearest gas station.,get_directions,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
What's the weather like today?,get_weather,NEUTRAL
Put on my favorite playlist.,play_music,POSITIVE
Do I need an umbrella?,get_weather,NEUTRAL
Do you know the time now?,get_time,NEUTRAL
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
Navigate to the grocery store.,get_directions,NEUTRAL
Can you turn on the lights?,control_lights,NEUTRAL
Tell me a bedtime story.,play_story,POSITIVE
Send a message to John.,send_message,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Make the lights brighter.,control_lights,NEUTRAL
Can you set a cooking timer?,set_timer,NEUTRAL
What's the time in New York?,get_time,NEUTRAL
I want to hear a story.,play_story,POSITIVE
Can you set a cooking timer?,set_timer,NEUTRAL
What's the weather like today?,get_weather,NEUTRAL
Can you tell me the current time?,get_time,NEUTRAL
Remind me to get up at 8.,set_alarm,NEUTRAL
Do you know the time now?,get_time,NEUTRAL
Start the music now.,play_music,POSITIVE
I want to hear a story.,play_story,POSITIVE
Show me the way to the airport.,get_directions,NEUTRAL
Text mom I'm on my way.,send_message,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Can you turn on the lights?,control_lights,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Navigate to the grocery store.,get_directions,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
What's the time in New York?,get_time,NEUTRAL
Do I need an umbrella?,get_weather,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
Remind me to get up at 8.,set_alarm,NEUTRAL
Play some music.,play_music,POSITIVE
Find the route to work.,get_directions,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Is it going to rain tomorrow?,get_weather,NEUTRAL
Can you turn on the lights?,control_lights,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
How hot is it outside?,get_weather,NEUTRAL
Play a story for me.,play_story,POSITIVE
Show me the way to the airport.,get_directions,NEUTRAL
How do I get to Central Park?,get_directions,NEUTRAL
Turn off the bedroom lights.,control_lights,NEUTRAL
Play a story for me.,play_story,POSITIVE
What time is it?,get_time,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Send a message to John.,send_message,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Play a story for me.,play_story,POSITIVE
Set an alarm for 6 AM.,set_alarm,NEUTRAL
What time is it?,get_time,NEUTRAL
Tell me a bedtime story.,play_story,POSITIVE
Tell me a bedtime story.,play_story,POSITIVE
Put on my favorite playlist.,play_music,POSITIVE
Timer for 15 minutes please.,set_timer,NEUTRAL
Navigate to the grocery store.,get_directions,NEUTRAL
Can you tell me the current time?,get_time,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
Do you know the time now?,get_time,NEUTRAL
Play my workout mix.,play_music,POSITIVE
Play some music.,play_music,POSITIVE
Any updates on world news?,get_news,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
I want to hear a story.,play_story,POSITIVE
What time is it?,get_time,NEUTRAL
Give me the time.,get_time,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
Give me today's news.,get_news,NEUTRAL
What's the latest news?,get_news,NEUTRAL
Dim the lights in the living room.,control_lights,NEUTRAL
Can you tell me the current time?,get_time,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
Make the lights brighter.,control_lights,NEUTRAL
What time is it?,get_time,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Can you read me something?,play_story,POSITIVE
Remind me to get up at 8.,set_alarm,NEUTRAL
Play my workout mix.,play_music,POSITIVE
Shoot a text to my brother.,send_message,NEUTRAL
Schedule an alarm for 5:30.,set_alarm,NEUTRAL
I want to hear a story.,play_story,POSITIVE
How do I get to Central Park?,get_directions,NEUTRAL
Shoot a text to my brother.,send_message,NEUTRAL
Tell me a bedtime story.,play_story,POSITIVE
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
How do I get to Central Park?,get_directions,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Can you turn on the lights?,control_lights,NEUTRAL
Turn off the bedroom lights.,control_lights,NEUTRAL
Switch on the kitchen light.,control_lights,NEUTRAL
Start the music now.,play_music,POSITIVE
Start the music now.,play_music,POSITIVE
Shoot a text to my brother.,send_message,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Tell me the headlines.,get_news,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Directions to the nearest gas station.,get_directions,NEUTRAL
Timer for 15 minutes please.,set_timer,NEUTRAL
Can you play some songs?,play_music,POSITIVE
Schedule an alarm for 5:30.,set_alarm,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Switch on the kitchen light.,control_lights,NEUTRAL
How do I get to Central Park?,get_directions,NEUTRAL
Schedule an alarm for 5:30.,set_alarm,NEUTRAL
Play some music.,play_music,POSITIVE
Can you tell me the current time?,get_time,NEUTRAL
Start the music now.,play_music,POSITIVE
Give me a fairy tale.,play_story,POSITIVE
Can you tell me the current time?,get_time,NEUTRAL
I want to hear a story.,play_story,POSITIVE
Send a message to John.,send_message,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Make the lights brighter.,control_lights,NEUTRAL
I need a 5-minute timer.,set_timer,NEUTRAL
Give me the time.,get_time,NEUTRAL
Timer for 15 minutes please.,set_timer,NEUTRAL
What's the latest news?,get_news,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
Set a timer for 10 minutes.,set_timer,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Timer for 15 minutes please.,set_timer,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Shoot a text to my brother.,send_message,NEUTRAL
Can you read me something?,play_story,POSITIVE
Shoot a text to my brother.,send_message,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Make the lights brighter.,control_lights,NEUTRAL
Put on my favorite playlist.,play_music,POSITIVE
Put on my favorite playlist.,play_music,POSITIVE
Set a timer for 10 minutes.,set_timer,NEUTRAL
Schedule an alarm for 5:30.,set_alarm,NEUTRAL
Do I need an umbrella?,get_weather,NEUTRAL
Can you set a cooking timer?,set_timer,NEUTRAL
I need a 5-minute timer.,set_timer,NEUTRAL
Tell me the forecast.,get_weather,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Turn off the bedroom lights.,control_lights,NEUTRAL
What time is it?,get_time,NEUTRAL
Set a timer for 10 minutes.,set_timer,NEUTRAL
Directions to the nearest gas station.,get_directions,NEUTRAL
Do I need an umbrella?,get_weather,NEUTRAL
Can you tell me the current time?,get_time,NEUTRAL
Give me today's news.,get_news,NEUTRAL
Play a story for me.,play_story,POSITIVE
What's the time in New York?,get_time,NEUTRAL
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
I need a 5-minute timer.,set_timer,NEUTRAL
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
I want to hear a story.,play_story,POSITIVE
Tell me the forecast.,get_weather,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
Remind me to get up at 8.,set_alarm,NEUTRAL
How do I get to Central Park?,get_directions,NEUTRAL
Is it going to rain tomorrow?,get_weather,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Tell me the forecast.,get_weather,NEUTRAL
Start a countdown for 3 minutes.,set_timer,NEUTRAL
Play a story for me.,play_story,POSITIVE
Any updates on world news?,get_news,NEUTRAL
Shoot a text to my brother.,send_message,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
What time is it?,get_time,NEUTRAL
How do I get to Central Park?,get_directions,NEUTRAL
Navigate to the grocery store.,get_directions,NEUTRAL
Can you turn on the lights?,control_lights,NEUTRAL
Play a story for me.,play_story,POSITIVE
Start the music now.,play_music,POSITIVE
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Is it going to rain tomorrow?,get_weather,NEUTRAL
Set an alarm for 6 AM.,set_alarm,NEUTRAL
Is it going to rain tomorrow?,get_weather,NEUTRAL
Switch on the kitchen light.,control_lights,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Give me the time.,get_time,NEUTRAL
Can you play some songs?,play_music,POSITIVE
Send a quick note to Mike.,send_message,NEUTRAL
What time is it?,get_time,NEUTRAL
How do I get to Central Park?,get_directions,NEUTRAL
Dim the lights in the living room.,control_lights,NEUTRAL
Can you play some songs?,play_music,POSITIVE
Timer for 15 minutes please.,set_timer,NEUTRAL
What's happening in the world?,get_news,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
How do I get to Central Park?,get_directions,NEUTRAL
Give me a fairy tale.,play_story,POSITIVE
Play my workout mix.,play_music,POSITIVE
Can you set a cooking timer?,set_timer,NEUTRAL
Can you read me something?,play_story,POSITIVE
Do you know the time now?,get_time,NEUTRAL
I need a 5-minute timer.,set_timer,NEUTRAL
Do you know the time now?,get_time,NEUTRAL
Can you tell me the current time?,get_time,NEUTRAL
Give me the time.,get_time,NEUTRAL
Give me today's news.,get_news,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Directions to the nearest gas station.,get_directions,NEUTRAL
Switch on the kitchen light.,control_lights,NEUTRAL
Tell me a bedtime story.,play_story,POSITIVE
Switch on the kitchen light.,control_lights,NEUTRAL
Send a message to John.,send_message,NEUTRAL
Give me the time.,get_time,NEUTRAL
What time is it?,get_time,NEUTRAL
Can you set a cooking timer?,set_timer,NEUTRAL
Send a quick note to Mike.,send_message,NEUTRAL
Can you tell me the current time?,get_time,NEUTRAL
Send a message to John.,send_message,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
Do I need an umbrella?,get_weather,NEUTRAL
What time is it?,get_time,NEUTRAL
Show me the way to the airport.,get_directions,NEUTRAL
What's the time in New York?,get_time,NEUTRAL
Alarm at 9 o'clock.,set_alarm,NEUTRAL
Tell me the headlines.,get_news,NEUTRAL
Give me today's news.,get_news,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
Turn off the bedroom lights.,control_lights,NEUTRAL
Can you read me something?,play_story,POSITIVE
Wake me up at 7 tomorrow.,set_alarm,NEUTRAL
Play my workout mix.,play_music,POSITIVE
What's happening in the world?,get_news,NEUTRAL
Text mom I'm on my way.,send_message,NEUTRAL
Timer for 15 minutes please.,set_timer,NEUTRAL
Do you know the time now?,get_time,NEUTRAL
Can you message Sarah?,send_message,NEUTRAL
What time is it?,get_time,NEUTRAL
How hot is it outside?,get_weather,NEUTRAL
Dim the lights in the living room.,control_lights,NEUTRAL
Play a story for me.,play_story,POSITIVE
Do I need an umbrella?,get_weather,NEUTRAL
Make the lights brighter.,control_lights,NEUTRAL
